profile,actor,DPS,increase,
dungeons,H_475_secret_spinners_miter_CoI_TH_OP,59768,12.88%,
dungeons,H_475_stormlurkers_cowl_CoI_TH_OP,59763,12.87%,
dungeons,H_475_stormlurkers_cowl_CoI_TH_OMW,59429,12.24%,
dungeons,H_475_soulfuel_headdress_TH_BI_AG,59419,12.22%,
dungeons,H_475_cowl_of_unspeakable_horrors_CoI_HoD_OP,59336,12.07%,
dungeons,H_475_inventors_ingenious_trifocals_TH_CoI_AG,59216,11.84%,
dungeons,H_475_soulfuel_headdress_TH_CoI_AG,59203,11.82%,
dungeons,C_475_loa_betrayers_vestments_SA_CoI_HMC,59075,11.57%,
dungeons,H_460_stormlurkers_cowl_CoI_TH_OP,59069,11.56%,
dungeons,H_460_secret_spinners_miter_CoI_TH_OP,59062,11.55%,
dungeons,S_485_spaulders_of_miasmic_mycelia_WotD_CoI_BS,59044,11.52%,
dungeons,H_475_secret_spinners_miter_WotD_TH_OP,59003,11.44%,
dungeons,C_475_robes_of_the_fallen_keeper_WotD_CoI_EW,58996,11.43%,
dungeons,C_475_robes_of_unreality_CoI_HoD_OMW,58934,11.31%,
dungeons,C_475_volatile_arming_doublet_TH_CH_EW,58914,11.27%,
dungeons,C_475_loa_betrayers_vestments_SA_CoI_OMW,58906,11.26%,
dungeons,S_475_void_ascendants_mantle_CoI_HoD_HMC,58887,11.22%,
dungeons,C_475_volatile_arming_doublet_TH_CH_OMW,58879,11.20%,
dungeons,S_475_void_ascendants_mantle_CoI_WotD_HMC,58845,11.14%,
dungeons,H_475_stormlurkers_cowl_SD_TH_OP,58825,11.10%,
dungeons,S_475_shouldersguards_of_fraying_sanity_TH_CH_HMC,58797,11.05%,
dungeons,C_475_volatile_arming_doublet_CoI_CH_EW,58777,11.01%,
dungeons,C_475_robes_of_unreality_CoI_HoD_BS,58765,10.99%,
dungeons,S_475_brood_cleansers_amice_TH_SS_EL,58765,10.99%,
dungeons,H_475_inventors_ingenious_trifocals_WotD_CoI_AG,58742,10.95%,
dungeons,C_475_inmates_straight_robe_TH_WotD_HMC,58725,10.91%,
dungeons,H_475_soulfuel_headdress_WotD_CoI_AG,58718,10.90%,
dungeons,S_475_void_ascendants_mantle_CoI_HoD_OMW,58700,10.87%,
dungeons,C_475_volatile_arming_doublet_CoI_CH_OMW,58697,10.86%,
dungeons,H_475_soulfuel_headdress_WotD_BI_AG,58674,10.82%,
dungeons,S_475_void_ascendants_mantle_CoI_WotD_OMW,58671,10.81%,
dungeons,H_460_soulfuel_headdress_TH_BI_AG,58663,10.80%,
dungeons,C_475_ruffled_poet_blouse_TH_TW_EW,58661,10.79%,
dungeons,H_475_cowl_of_unspeakable_horrors_WotD_HoD_OP,58660,10.79%,
dungeons,H_475_secret_spinners_miter_CoI_ItP_OP,58656,10.78%,
dungeons,H_460_stormlurkers_cowl_CoI_TH_OMW,58654,10.78%,
dungeons,H_460_cowl_of_unspeakable_horrors_CoI_HoD_OP,58566,10.61%,
dungeons,C_475_inmates_straight_robe_TH_WotD_OMW,58550,10.58%,
dungeons,C_475_ruffled_poet_blouse_TH_TW_OMW,58531,10.55%,
dungeons,S_475_mantle_of_void_touched_waters_TH_WotD_HMC,58530,10.55%,
dungeons,S_475_shouldersguards_of_fraying_sanity_TH_WotD_HMC,58507,10.50%,
dungeons,H_485_visage_of_nightmarish_machinations_DT_CoI_GR,58476,10.44%,
dungeons,H_460_soulfuel_headdress_TH_CoI_AG,58444,10.38%,
dungeons,H_475_stormlurkers_cowl_SD_TH_OMW,58433,10.36%,
dungeons,C_475_ruffled_poet_blouse_CoI_TW_EW,58416,10.33%,
dungeons,H_460_inventors_ingenious_trifocals_TH_CoI_AG,58410,10.32%,
dungeons,S_485_spaulders_of_miasmic_mycelia_WotD_HoD_BS,58381,10.26%,
dungeons,C_475_inmates_straight_robe_TH_DitB_HMC_Behind,58359,10.22%,
dungeons,H_445_stormlurkers_cowl_CoI_TH_OP,58358,10.22%,
dungeons,H_445_handmaidens_cowl_of_sacrifice_TH_CoI_OP,58353,10.21%,
dungeons,C_475_robes_of_the_fallen_keeper_WotD_HoD_EW,58339,10.18%,
dungeons,H_445_secret_spinners_miter_CoI_TH_OP,58316,10.14%,
dungeons,C_475_ruffled_poet_blouse_CoI_TW_OMW,58313,10.14%,
dungeons,H_475_stormlurkers_cowl_CoI_TS_OP,58270,10.05%,
dungeons,S_470_spaulders_of_miasmic_mycelia_WotD_CoI_BS,58260,10.04%,
dungeons,C_475_inmates_straight_robe_TH_DitB_OMW_Behind,58250,10.02%,
dungeons,C_460_loa_betrayers_vestments_SA_CoI_HMC,58242,10.00%,
dungeons,S_460_brood_cleansers_amice_TH_SS_EL,58211,9.94%,
dungeons,C_460_volatile_arming_doublet_TH_CH_EW,58208,9.94%,
dungeons,S_475_mantle_of_void_touched_waters_TH_SotD_HMC,58201,9.92%,
dungeons,C_475_robes_of_the_fallen_keeper_DT_CoI_EW,58194,9.91%,
dungeons,S_460_void_ascendants_mantle_CoI_HoD_HMC,58179,9.88%,
dungeons,C_460_robes_of_the_fallen_keeper_WotD_CoI_EW,58172,9.87%,
