profile,actor,DPS,increase,
dungeons,Synaptic_Spark_Capacitor_3,15021,12.31%,
dungeons,Barrage_Of_Many_Bombs_3,15012,12.24%,
dungeons,Champion_of_Azeroth_3,14959,11.84%,
dungeons,Blightborne_Infusion_3,14954,11.81%,
dungeons,Thunderous_Blast_3,14912,11.49%,
dungeons,Swirling_Sands_3,14745,10.25%,
dungeons,Relational_Normalization_Gizmo_3,14552,8.80%,
dungeons,Unstable_Catalyst_3,14548,8.77%,
dungeons,Synaptic_Spark_Capacitor_2,14476,8.23%,
dungeons,Barrage_Of_Many_Bombs_2,14471,8.20%,
dungeons,Tidal_Surge_3,14458,8.10%,
dungeons,Secrets_of_the_Deep_3,14441,7.97%,
dungeons,Blightborne_Infusion_2,14427,7.87%,
dungeons,Champion_of_Azeroth_2,14421,7.82%,
dungeons,Dagger_in_the_Back_Behind_3,14413,7.76%,
dungeons,Death_Throes_3,14411,7.74%,
dungeons,Thunderous_Blast_2,14401,7.67%,
dungeons,Rezans_Fury_3,14399,7.66%,
dungeons,Sylvanas_Resolve_3,14399,7.66%,
dungeons,Meticulous_Scheming_3,14388,7.57%,
dungeons,Tradewinds_3,14379,7.51%,
dungeons,Archive_of_the_Titans_3,14373,7.46%,
dungeons,Laser_Matrix_3,14360,7.37%,
dungeons,Glory_in_Battle_3,14316,7.03%,
dungeons,Incite_the_Pack_3,14308,6.98%,
dungeons,Filthy_Transfusion_3,14304,6.95%,
dungeons,Blood_Rite_3,14298,6.90%,
dungeons,Swirling_Sands_2,14281,6.78%,
dungeons,Whispers_of_the_Damned_3,14217,6.30%,
dungeons,Overwhelming_Power_3,14215,6.28%,
dungeons,Ricocheting_Inflatable_Pyrosaw_3,14192,6.11%,
dungeons,Relational_Normalization_Gizmo_2,14156,5.84%,
dungeons,Unstable_Catalyst_2,14154,5.83%,
dungeons,Heed_My_Call_3,14106,5.46%,
dungeons,Tidal_Surge_2,14095,5.38%,
dungeons,Secrets_of_the_Deep_2,14076,5.24%,
dungeons,Dagger_in_the_Back_Behind_2,14061,5.13%,
dungeons,Rezans_Fury_2,14054,5.08%,
dungeons,Meticulous_Scheming_2,14054,5.08%,
dungeons,Death_Throes_2,14053,5.07%,
dungeons,Sylvanas_Resolve_2,14047,5.02%,
dungeons,Tradewinds_2,14046,5.02%,
dungeons,Archive_of_the_Titans_2,14038,4.96%,
dungeons,Laser_Matrix_2,14030,4.90%,
dungeons,Incite_the_Pack_2,14001,4.68%,
dungeons,Filthy_Transfusion_2,14000,4.67%,
dungeons,Glory_in_Battle_2,13997,4.65%,
dungeons,Blood_Rite_2,13985,4.56%,
dungeons,Dagger_in_the_Back_Front_3,13985,4.56%,
dungeons,Spiteful_Apparitions_3,13947,4.28%,
dungeons,Ricocheting_Inflatable_Pyrosaw_2,13929,4.14%,
dungeons,Overwhelming_Power_2,13926,4.12%,
dungeons,Barrage_Of_Many_Bombs_1,13925,4.11%,
dungeons,Thought_Harvester_3,13922,4.09%,
dungeons,Synaptic_Spark_Capacitor_1,13921,4.08%,
dungeons,Unstable_Flames_3,13917,4.06%,
dungeons,Whispers_of_the_Damned_2,13915,4.04%,
dungeons,Retaliatory_Fury_3,13903,3.95%,
dungeons,Champion_of_Azeroth_1,13900,3.93%,
dungeons,Blightborne_Infusion_1,13893,3.87%,
dungeons,Chorus_of_Insanity_3,13892,3.87%,
dungeons,Thunderous_Blast_1,13889,3.84%,
dungeons,Gutripper_3,13885,3.81%,
dungeons,Heed_My_Call_2,13870,3.70%,
dungeons,Elemental_Whirl_3,13845,3.51%,
dungeons,Swirling_Sands_1,13824,3.36%,
dungeons,Searing_Dialogue_3,13812,3.27%,
dungeons,Ruinous_Bolt_3,13806,3.22%,
dungeons,Earthlink_3,13792,3.12%,
dungeons,Dagger_in_the_Back_Front_2,13788,3.09%,
dungeons,Relational_Normalization_Gizmo_1,13761,2.89%,
dungeons,Unstable_Catalyst_1,13761,2.88%,
dungeons,Spiteful_Apparitions_2,13755,2.85%,
dungeons,Azerite_Globules_3,13755,2.84%,
dungeons,Unstable_Flames_2,13747,2.78%,
dungeons,Blood_Siphon_3,13744,2.76%,
dungeons,Thought_Harvester_2,13744,2.76%,
dungeons,Retaliatory_Fury_2,13733,2.68%,
dungeons,Tidal_Surge_1,13730,2.66%,
dungeons,On_My_Way_3,13729,2.65%,
dungeons,Secrets_of_the_Deep_1,13725,2.62%,
dungeons,Dagger_in_the_Back_Behind_1,13718,2.56%,
dungeons,Chorus_of_Insanity_2,13716,2.55%,
dungeons,Gutripper_2,13715,2.54%,
dungeons,Collective_Will_3,13714,2.53%,
dungeons,Death_Throes_1,13712,2.52%,
