profile,actor,DPS,increase,
composite,Potion_of_Intellect,14226,2.21%,
composite,Bountiful_Captains_Feast,14105,1.34%,
composite,Swamp_Fish_n_Chips,14060,1.02%,
composite,Galley Banquet,14060,1.01%,
composite,Honey-Glazed_Haunches,14049,0.94%,
composite,Spiced_Snapper,14033,0.82%,
composite,Battle-Scarred Augment Rune,14033,0.82%,
composite,Sailors_Pie,14029,0.79%,
composite,Potion_of_Rising_Death,14009,0.65%,
composite,Base,13919,0.00%,
single_target,Potion_of_Intellect,12766,2.25%,
single_target,Bountiful_Captains_Feast,12650,1.33%,
single_target,Swamp_Fish_n_Chips,12611,1.02%,
single_target,Galley Banquet,12608,0.99%,
single_target,Honey-Glazed_Haunches,12596,0.90%,
single_target,Spiced_Snapper,12586,0.82%,
single_target,Sailors_Pie,12584,0.80%,
single_target,Battle-Scarred Augment Rune,12581,0.77%,
single_target,Potion_of_Rising_Death,12573,0.71%,
single_target,Base,12484,0.00%,
