profile,actor,DPS,increase,
dungeons,MoLD_EotFI_PP_LS_Aberration,70714,25.40%,
dungeons,MoLD_PP_BotE_LS_Aberration,70364,24.78%,
dungeons,MoLD_EotFI_BotE_LS,69983,24.10%,
dungeons,MoLD_PP_CoF_LS_Aberration,69260,22.82%,
dungeons,CLF_MoLD_PP_LS_Aberration,69219,22.75%,
dungeons,MoLD_CLF_PP_LS_Aberration,69132,22.59%,
dungeons,MoLD_EotFI_CoF_LS,68997,22.35%,
dungeons,MoLD_CLF_EotFI_LS,68858,22.11%,
dungeons,CLF_EotFI_PP_LS_Aberration,68751,21.92%,
dungeons,MoLD_CoF_BotE_LS,68738,21.89%,
dungeons,CLF_PP_BotE_LS_Aberration,68682,21.79%,
dungeons,MoLD_BotE_CoF_LS,68663,21.76%,
dungeons,CLF_MoLD_EotFI_LS,68558,21.58%,
dungeons,MoLD_CLF_BotE_LS,68525,21.52%,
dungeons,CLF_MoLD_BotE_LS,68481,21.44%,
dungeons,CLF_EotFI_BotE_LS,67990,20.57%,
dungeons,CLF_PP_CoF_LS_Aberration,67911,20.43%,
dungeons,CLF_MoLD_CoF_LS,67662,19.99%,
dungeons,MoLD_CLF_CoF_LS,67508,19.71%,
dungeons,CLF_EotFI_CoF_LS,67270,19.29%,
dungeons,CLF_CoF_BotE_LS,67215,19.19%,
dungeons,CLF_BotE_CoF_LS,67213,19.19%,
dungeons,MoLD_CoF_CoF_LS,66128,17.27%,
dungeons,CLF_CoF_CoF_LS,64885,15.06%,
dungeons,Focused_Azerite_Beam_3,63361,12.36%,
dungeons,Focused_Azerite_Beam_2,63110,11.91%,
dungeons,Focused_Azerite_Beam_1,62280,10.44%,
dungeons,Purifying_Blast_Aberration_3,61005,8.18%,
dungeons,Memory_of_Lucid_Dreams_3,60967,8.11%,
dungeons,Worldvein_Resonance_3_Allies_3,60638,7.53%,
dungeons,Worldvein_Resonance_4_Allies_3,60592,7.45%,
dungeons,Worldvein_Resonance_4_Allies_2,60507,7.30%,
dungeons,Blood_of_the_Enemy_100_Uptime_3,60500,7.29%,
dungeons,Worldvein_Resonance_2_Allies_3,60486,7.26%,
dungeons,Purifying_Blast_Aberration_2,60460,7.22%,
dungeons,Reaping_Flames_3,60429,7.16%,
dungeons,Purifying_Blast_Aberration_1,60416,7.14%,
dungeons,Worldvein_Resonance_3_Allies_2,60395,7.10%,
dungeons,Worldvein_Resonance_1_Allies_3,60103,6.58%,
dungeons,Guardian_of_Azeroth_3,60089,6.56%,
dungeons,Purifying_Blast_3,60038,6.47%,
dungeons,Worldvein_Resonance_2_Allies_2,59987,6.38%,
dungeons,Blood_of_the_Enemy_75_Uptime_3,59954,6.32%,
dungeons,Blood_of_the_Enemy_100_Uptime_2,59684,5.84%,
dungeons,Purifying_Blast_2,59649,5.78%,
dungeons,Purifying_Blast_1,59645,5.77%,
dungeons,Worldvein_Resonance_1_Allies_2,59563,5.62%,
dungeons,Worldvein_Resonance_4_Allies_1,59553,5.61%,
dungeons,Memory_of_Lucid_Dreams_2,59486,5.49%,
dungeons,Blood_of_the_Enemy_50_Uptime_3,59425,5.38%,
dungeons,Lethal_Strikes_3,59417,5.37%,
dungeons,Purification_Protocol_Aberration_3,59396,5.33%,
dungeons,Blood_of_the_Enemy_75_Uptime_2,59247,5.06%,
dungeons,Worldvein_Resonance_3_Allies_1,59236,5.04%,
dungeons,Reaping_Flames_2,59012,4.65%,
dungeons,Lifeblood_4_Allies_3,59003,4.63%,
dungeons,Lifeblood_3_Allies_3,58958,4.55%,
dungeons,Concentrated_Flame_3,58941,4.52%,
dungeons,Purification_Protocol_Aberration_1,58856,4.37%,
dungeons,Conflict_3,58847,4.35%,
dungeons,Purification_Protocol_Aberration_2,58833,4.33%,
dungeons,Lucid_Dreams_3,58826,4.32%,
dungeons,Memory_of_Lucid_Dreams_1,58823,4.31%,
dungeons,Lifeblood_4_Allies_2,58819,4.31%,
dungeons,Worldvein_Resonance_2_Allies_1,58812,4.29%,
dungeons,Strife_3,58806,4.28%,
dungeons,Vision_of_Perfection_3,58752,4.19%,
dungeons,Blood_of_the_Enemy_50_Uptime_2,58737,4.16%,
dungeons,The_Unbound_Force_3,58725,4.14%,
dungeons,Lifeblood_2_Allies_3,58719,4.13%,
dungeons,Blood_of_the_Enemy_100_Uptime_1,58710,4.11%,
dungeons,Lifeblood_3_Allies_2,58637,3.98%,
dungeons,Reaping_Flames_1,58606,3.93%,
dungeons,Focused_Energy_3,58504,3.75%,
dungeons,Purification_Protocol_3,58444,3.64%,
dungeons,Blood_Soaked_3,58436,3.63%,
dungeons,Guardian_of_Azeroth_2,58409,3.58%,
dungeons,Symbiotic_Presence_3,58299,3.38%,
dungeons,Lifeblood_1_Allies_3,58268,3.33%,
dungeons,Focused_Energy_2,58266,3.32%,
dungeons,Blood_Soaked_2,58259,3.31%,
dungeons,Lifeblood_4_Allies_1,58236,3.27%,
dungeons,Worldvein_Resonance_1_Allies_1,58200,3.21%,
dungeons,Blood_of_the_Enemy_75_Uptime_1,58194,3.20%,
dungeons,Concentrated_Flame_2,58091,3.01%,
dungeons,Lifeblood_2_Allies_2,58079,2.99%,
dungeons,Lethal_Strikes_1,58042,2.93%,
dungeons,Lethal_Strikes_2,58034,2.91%,
dungeons,Conflict_2,58027,2.90%,
dungeons,Reckless_Force_3,58005,2.86%,
dungeons,Purification_Protocol_1,57994,2.84%,
dungeons,Strife_2,57990,2.83%,
dungeons,Purification_Protocol_2,57969,2.80%,
dungeons,Ancient_Flame_3,57957,2.78%,
dungeons,Vision_of_Perfection_2,57950,2.76%,
dungeons,Lifeblood_3_Allies_1,57939,2.74%,
dungeons,Condensed_Life_Force_3,57816,2.53%,
dungeons,The_Unbound_Force_2,57801,2.50%,
dungeons,Blood_of_the_Enemy_50_Uptime_1,57788,2.48%,
dungeons,Guardian_of_Azeroth_1,57719,2.35%,
dungeons,Focused_Energy_1,57674,2.28%,
dungeons,Symbiotic_Presence_2,57632,2.20%,
dungeons,The_Unbound_Force_1,57620,2.18%,
dungeons,Vision_of_Perfection_1,57593,2.13%,
dungeons,Lifeblood_1_Allies_2,57591,2.13%,
dungeons,Lifeblood_2_Allies_1,57547,2.05%,
dungeons,Condensed_Life_Force_2,57505,1.97%,
dungeons,Reckless_Force_2,57501,1.97%,
dungeons,Conflict_1,57441,1.86%,
