profile,actor,DPS,increase,
composite,Human,74800,1.97%,
composite,Night_Elf_Haste,74441,1.48%,
composite,Goblin,74406,1.43%,
composite,Gnome,74390,1.41%,
composite,Panda,74339,1.34%,
composite,Zandalari_Troll_Paku,74338,1.34%,
composite,Dwarf,74248,1.22%,
composite,Tauren,74225,1.19%,
composite,Night_Elf_Crit,74155,1.09%,
composite,Mechagnome,74133,1.06%,
composite,Troll,74130,1.06%,
composite,Void_Elf,74113,1.03%,
composite,Blood_Elf,74111,1.03%,
composite,Worgen,74109,1.03%,
composite,Nightborne,74078,0.98%,
composite,Kul_Tiran,74061,0.96%,
composite,Lightforged_Draenei,73915,0.76%,
composite,Zandalari_Troll_Kimbul,73859,0.69%,
composite,Undead,73845,0.67%,
composite,Maghar_Orc,73843,0.67%,
composite,Zandalari_Troll_Bwonsamdi,73778,0.58%,
composite,Draenei,73621,0.36%,
composite,Dark_Iron_Dwarf,73487,0.18%,
composite,Base,73355,0.00%,
composite,Vulpera,73183,-0.23%,
single_target,Human,66366,1.94%,
single_target,Night_Elf_Haste,66063,1.47%,
single_target,Goblin,66025,1.42%,
single_target,Gnome,66003,1.38%,
single_target,Panda,65960,1.32%,
single_target,Zandalari_Troll_Paku,65941,1.29%,
single_target,Dwarf,65899,1.22%,
single_target,Tauren,65860,1.16%,
single_target,Void_Elf,65832,1.12%,
single_target,Mechagnome,65814,1.09%,
single_target,Troll,65790,1.05%,
single_target,Night_Elf_Crit,65789,1.05%,
single_target,Kul_Tiran,65746,0.99%,
single_target,Nightborne,65741,0.98%,
single_target,Blood_Elf,65739,0.98%,
single_target,Worgen,65738,0.97%,
single_target,Zandalari_Troll_Kimbul,65656,0.85%,
single_target,Undead,65591,0.75%,
single_target,Maghar_Orc,65539,0.67%,
single_target,Zandalari_Troll_Bwonsamdi,65524,0.65%,
single_target,Lightforged_Draenei,65497,0.61%,
single_target,Draenei,65355,0.39%,
single_target,Dark_Iron_Dwarf,65230,0.20%,
single_target,Vulpera,65112,0.01%,
single_target,Base,65103,0.00%,
