profile,actor,DPS,increase,
composite,SWV_ToF_SC_MB_DA,11996,32.94%,
composite,FotM_ToF_SC_MB_DA,11990,32.87%,
composite,FotM_DV_SC_MB_DA,11887,31.72%,
composite,SWV_DV_SC_MB_DA,11881,31.66%,
composite,FotM_ToF_SC_MB_LotV,11798,30.74%,
composite,FotM_ToF_AS_MB_DA,11782,30.56%,
composite,SI_ToF_SC_MB_DA,11767,30.39%,
composite,FotM_Mis_SC_MB_DA,11763,30.35%,
composite,FotM_ToF_SWD_MB_DA,11709,29.75%,
composite,SWV_ToF_AS_MB_DA,11707,29.73%,
composite,SWV_ToF_SWD_MB_DA,11683,29.46%,
composite,SWV_Mis_SC_MB_DA,11678,29.40%,
composite,FotM_DV_SC_MB_LotV,11666,29.27%,
composite,FotM_DV_AS_MB_DA,11665,29.27%,
composite,SI_DV_SC_MB_DA,11653,29.13%,
composite,SWV_ToF_SC_MB_LotV,11651,29.11%,
composite,FotM_Mis_SC_MB_LotV,11619,28.75%,
composite,FotM_ToF_AS_MB_LotV,11613,28.69%,
composite,SWV_Mis_SC_MB_LotV,11599,28.53%,
composite,SWV_DV_AS_MB_DA,11589,28.42%,
composite,FotM_ToF_SWD_MB_LotV,11588,28.41%,
composite,FotM_DV_SWD_MB_DA,11586,28.38%,
composite,FotM_ToF_SC_MB_STM,11567,28.17%,
composite,SWV_DV_SC_MB_LotV,11556,28.05%,
composite,SWV_DV_SWD_MB_DA,11545,27.93%,
composite,SI_ToF_SC_MB_LotV,11544,27.92%,
composite,FotM_Mis_AS_MB_DA,11515,27.60%,
composite,SI_Mis_SC_MB_DA,11486,27.28%,
composite,SI_ToF_AS_MB_DA,11475,27.16%,
composite,FotM_Mis_SWD_MB_DA,11450,26.88%,
composite,SWV_Mis_SWD_MB_DA,11444,26.81%,
composite,SI_ToF_SWD_MB_DA,11434,26.71%,
composite,FotM_Mis_SC_MB_STM,11418,26.52%,
composite,SI_DV_SC_MB_LotV,11411,26.45%,
composite,SWV_Mis_AS_MB_DA,11406,26.39%,
composite,FotM_DV_AS_MB_LotV,11395,26.28%,
composite,SWV_ToF_AS_MB_LotV,11392,26.24%,
composite,SWV_ToF_SWD_MB_LotV,11390,26.22%,
composite,SI_Mis_SC_MB_LotV,11375,26.05%,
composite,SWV_ToF_SC_VT_DA,11374,26.04%,
composite,FotM_DV_SWD_MB_LotV,11354,25.81%,
composite,SWV_Mis_SC_MB_STM,11352,25.79%,
composite,FotM_Mis_AS_MB_LotV,11349,25.76%,
composite,SI_DV_AS_MB_DA,11349,25.76%,
composite,FotM_DV_SC_MB_STM,11349,25.76%,
composite,FotM_Mis_SWD_MB_LotV,11345,25.72%,
composite,SWV_ToF_SC_MB_STM,11340,25.66%,
composite,SI_DV_SWD_MB_DA,11322,25.46%,
composite,FotM_ToF_SC_VT_DA,11310,25.33%,
composite,FotM_ToF_AS_MB_STM,11295,25.17%,
composite,SWV_DV_SC_VT_DA,11291,25.12%,
composite,SI_ToF_SC_MB_STM,11281,25.00%,
composite,SI_ToF_AS_MB_LotV,11280,25.00%,
composite,SI_ToF_SWD_MB_LotV,11274,24.93%,
composite,SWV_Mis_AS_MB_LotV,11272,24.91%,
composite,FotM_DV_SC_VT_DA,11266,24.85%,
composite,SWV_Mis_SWD_MB_LotV,11266,24.84%,
composite,FotM_ToF_SWD_MB_STM,11232,24.46%,
composite,SWV_DV_SC_MB_STM,11220,24.33%,
composite,FotM_ToF_SC_LI_DA,11220,24.33%,
composite,SWV_ToF_SC_LI_DA,11216,24.29%,
composite,SI_Mis_AS_MB_DA,11216,24.29%,
composite,SWV_DV_SWD_MB_LotV,11208,24.20%,
composite,SWV_DV_AS_MB_LotV,11203,24.15%,
composite,FotM_DV_SC_LI_DA,11198,24.08%,
composite,SI_Mis_SWD_MB_DA,11161,23.68%,
composite,SWV_DV_SC_LI_DA,11149,23.54%,
composite,FotM_Mis_AS_MB_STM,11147,23.52%,
composite,FotM_ToF_AS_VT_DA,11145,23.50%,
composite,SI_Mis_SC_MB_STM,11144,23.49%,
composite,FotM_ToF_SC_VT_LotV,11143,23.48%,
composite,SI_DV_SC_MB_STM,11112,23.14%,
composite,SWV_ToF_AS_MB_STM,11107,23.08%,
composite,FotM_ToF_AS_LI_DA,11102,23.02%,
composite,SI_DV_AS_MB_LotV,11094,22.94%,
composite,SI_Mis_SWD_MB_LotV,11092,22.92%,
composite,FotM_DV_SC_VT_LotV,11092,22.92%,
composite,SWV_ToF_SC_VT_LotV,11088,22.87%,
composite,SI_DV_SWD_MB_LotV,11088,22.87%,
composite,FotM_Mis_SWD_MB_STM,11088,22.87%,
composite,FotM_DV_AS_MB_STM,11085,22.84%,
composite,SWV_ToF_SWD_MB_STM,11081,22.79%,
composite,SI_ToF_SC_VT_DA,11080,22.78%,
composite,FotM_ToF_SC_LI_LotV,11079,22.77%,
composite,SI_Mis_AS_MB_LotV,11065,22.62%,
composite,SI_DV_SC_VT_DA,11062,22.58%,
composite,SWV_ToF_AS_VT_DA,11054,22.49%,
composite,SWV_Mis_AS_MB_STM,11051,22.45%,
composite,FotM_ToF_SWD_VT_DA,11048,22.43%,
composite,FotM_DV_SC_LI_LotV,11043,22.37%,
composite,SWV_Mis_SC_VT_DA,11037,22.31%,
composite,FotM_DV_SWD_MB_STM,11036,22.30%,
composite,SI_ToF_SC_LI_DA,11027,22.19%,
composite,FotM_Mis_SC_VT_LotV,11024,22.16%,
composite,FotM_Mis_SC_VT_DA,11021,22.13%,
composite,FotM_ToF_SWD_LI_DA,11021,22.13%,
composite,FotM_DV_AS_VT_DA,11004,21.94%,
composite,SI_ToF_SWD_MB_STM,11004,21.94%,
composite,SWV_DV_AS_VT_DA,11002,21.91%,
composite,SI_ToF_AS_MB_STM,11000,21.89%,
composite,SWV_ToF_SWD_VT_DA,10994,21.83%,
composite,SWV_Mis_SWD_MB_STM,10991,21.80%,
composite,SWV_Mis_SC_VT_LotV,10991,21.79%,
composite,SI_DV_SC_LI_DA,10979,21.66%,
composite,FotM_ToF_AS_VT_LotV,10976,21.63%,
composite,FotM_DV_AS_LI_DA,10966,21.52%,
composite,SWV_DV_SC_VT_LotV,10962,21.48%,
composite,FotM_Mis_SC_LI_LotV,10958,21.43%,
composite,SWV_Mis_SC_LI_LotV,10952,21.36%,
composite,FotM_Mis_SC_LI_DA,10946,21.30%,
composite,SWV_DV_SWD_VT_DA,10940,21.23%,
composite,SWV_ToF_SWD_LI_DA,10937,21.20%,
composite,FotM_DV_SWD_VT_DA,10935,21.17%,
composite,SWV_ToF_AS_LI_DA,10934,21.16%,
composite,SWV_Mis_SC_LI_DA,10923,21.04%,
composite,SWV_ToF_SC_LI_LotV,10921,21.01%,
