profile,actor,DPS,increase,
composite,Psyche_Shredder_475,68241,10.92%,
composite,Psyche_Shredder_460,67193,9.21%,
composite,Manifesto_of_Madness_485,66991,8.89%,
composite,Incandescent_Sliver_455,66788,8.56%,
composite,Lady_Waycrests_Music_Box_475,66678,8.38%,
composite,Harbingers_Inscrutable_Will_455,66652,8.33%,
composite,Shiver_Venom_Relic_455,66641,8.32%,
composite,Incandescent_Sliver_450,66619,8.28%,
composite,Forbidden_Obsidian_Claw_475,66605,8.26%,
composite,Vessel_of_Skittering_Shadows_475,66586,8.23%,
composite,Manifesto_of_Madness_470,66517,8.11%,
composite,Vita_Charged_Titanshard_475,66503,8.09%,
composite,Incandescent_Sliver_445,66488,8.07%,
composite,Hadals_Nautilus_475,66486,8.06%,
composite,Lady_Waycrests_Music_Box_470,66422,7.96%,
composite,Shiver_Venom_Relic_450,66392,7.91%,
composite,Humming_Black_Dragonscale_475,66370,7.88%,
composite,Incandescent_Sliver_440,66348,7.84%,
composite,Vita_Charged_Titanshard_460,66343,7.83%,
composite,Harbingers_Inscrutable_Will_450,66323,7.80%,
composite,Psyche_Shredder_445,66313,7.78%,
composite,Rotcrusted_Voodoo_Doll_475,66312,7.78%,
composite,Vessel_of_Skittering_Shadows_470,66305,7.77%,
composite,Leviathans_Lure_455,66270,7.71%,
composite,Incandescent_Sliver_435,66222,7.64%,
composite,Conch_of_Dark_Whispers_475,66219,7.63%,
composite,Hadals_Nautilus_470,66199,7.60%,
composite,Highborne_Compendium_of_Storms_400,66197,7.59%,
composite,Vita_Charged_Titanshard_445,66153,7.52%,
composite,Lady_Waycrests_Music_Box_465,66153,7.52%,
composite,Shiver_Venom_Relic_445,66131,7.49%,
composite,Manifesto_of_Madness_455,66085,7.41%,
composite,Conch_of_Dark_Whispers_470,66071,7.39%,
composite,Incandescent_Sliver_430,66067,7.38%,
composite,Vessel_of_Skittering_Shadows_465,66065,7.38%,
composite,Rotcrusted_Voodoo_Doll_470,66048,7.35%,
composite,Zaquls_Portal_Key_455,66046,7.35%,
composite,Leviathans_Lure_450,66012,7.29%,
composite,Harbingers_Inscrutable_Will_445,66010,7.29%,
composite,Vita_Charged_Titanshard_430,65998,7.27%,
composite,Hadals_Nautilus_465,65967,7.22%,
composite,Humming_Black_Dragonscale_460,65939,7.17%,
composite,Conch_of_Dark_Whispers_465,65936,7.17%,
composite,Peerless_Alchemist_Stone_470,65934,7.17%,
composite,Incandescent_Sliver_425,65934,7.17%,
composite,Lady_Waycrests_Music_Box_460,65927,7.16%,
composite,Oxidized_Refuse_Remover_455,65915,7.14%,
composite,Zaquls_Portal_Key_450,65887,7.09%,
composite,Shiver_Venom_Relic_440,65876,7.07%,
composite,Forbidden_Obsidian_Claw_460,65866,7.06%,
composite,Incandescent_Sliver_420,65829,7.00%,
composite,Rotcrusted_Voodoo_Doll_465,65828,6.99%,
composite,Vessel_of_Skittering_Shadows_460,65805,6.96%,
composite,Twitching_Tentacle_of_Xalzaix_455,65797,6.95%,
composite,Conch_of_Dark_Whispers_460,65787,6.93%,
composite,Dinobone_Charm_455,65779,6.92%,
composite,Leviathans_Lure_445,65760,6.88%,
composite,Oxidized_Refuse_Remover_450,65757,6.88%,
composite,Harbingers_Inscrutable_Will_440,65751,6.87%,
composite,Incessantly_Ticking_Clock_455,65743,6.86%,
composite,Zaquls_Portal_Key_445,65737,6.85%,
composite,Hadals_Nautilus_460,65733,6.84%,
composite,Galewind_Chimes_455,65728,6.83%,
composite,Incandescent_Sliver_415,65708,6.80%,
composite,Leyshocks_Grand_Compilation_455,65705,6.79%,
composite,Doom_Shroom_455,65698,6.78%,
composite,Ruthlessness_Protocol_Augment_455,65695,6.78%,
composite,Lady_Waycrests_Music_Box_455,65694,6.78%,
composite,Manifesto_of_Madness_440,65694,6.78%,
composite,Kajafied_Banana_455,65663,6.73%,
composite,Azsharas_Font_of_Power_455,65658,6.72%,
composite,Dinobone_Charm_450,65653,6.71%,
composite,Twitching_Tentacle_of_Xalzaix_450,65651,6.71%,
composite,Conch_of_Dark_Whispers_455,65633,6.68%,
composite,Oxidized_Refuse_Remover_445,65631,6.67%,
composite,Ignition_Mages_Fuse_475,65618,6.65%,
composite,Zaquls_Portal_Key_440,65616,6.65%,
composite,Incessantly_Ticking_Clock_450,65616,6.65%,
composite,Vessel_of_Skittering_Shadows_455,65608,6.64%,
composite,Galewind_Chimes_450,65607,6.64%,
composite,Rotcrusted_Voodoo_Doll_460,65603,6.63%,
composite,Shiver_Venom_Relic_435,65598,6.62%,
composite,Awakened_Alchemist_Stone_455,65576,6.59%,
composite,Tidestorm_Codex_455,65575,6.58%,
composite,Ruthlessness_Protocol_Augment_450,65566,6.57%,
composite,Vigilants_Bloodshaper_455,65559,6.56%,
composite,Humming_Black_Dragonscale_445,65550,6.54%,
composite,First_Mates_Spyglass_455,65546,6.54%,
composite,Leviathans_Lure_440,65542,6.53%,
composite,Leyshocks_Grand_Compilation_450,65537,6.52%,
composite,Conch_of_Dark_Whispers_450,65536,6.52%,
composite,Hadals_Nautilus_455,65528,6.51%,
composite,Dinobone_Charm_445,65521,6.50%,
composite,Twitching_Tentacle_of_Xalzaix_445,65516,6.49%,
composite,Emblem_of_Zandalar_455,65516,6.49%,
composite,Oxidized_Refuse_Remover_440,65494,6.45%,
composite,Ignition_Mages_Fuse_470,65492,6.45%,
composite,Azsharas_Font_of_Power_450,65490,6.45%,
composite,Incessantly_Ticking_Clock_445,65483,6.43%,
composite,Galewind_Chimes_445,65478,6.43%,
composite,Doom_Shroom_450,65467,6.41%,
composite,Zaquls_Portal_Key_435,65465,6.40%,
composite,Psyche_Shredder_430,65461,6.40%,
composite,Lady_Waycrests_Music_Box_450,65460,6.40%,
composite,Kajafied_Banana_450,65452,6.38%,
composite,Leyshocks_Grand_Compilation_445,65437,6.36%,
composite,Ruthlessness_Protocol_Augment_445,65434,6.36%,
composite,First_Mates_Spyglass_450,65434,6.35%,
composite,Tzanes_Barkspines_455,65426,6.34%,
composite,Crest_of_Paku_455,65412,6.32%,
composite,Dinobone_Charm_440,65407,6.31%,
composite,Harbingers_Inscrutable_Will_435,65404,6.31%,
composite,Conch_of_Dark_Whispers_445,65403,6.30%,
composite,Emblem_of_Zandalar_450,65396,6.29%,
composite,Rotcrusted_Voodoo_Doll_455,65390,6.28%,
