profile,actor,DPS,increase,
dungeons,Leyshocks_Grand_Compilation_400,16960,8.13%,
dungeons,Incessantly_Ticking_Clock_400,16927,7.92%,
dungeons,Leyshocks_Grand_Compilation_395,16921,7.88%,
dungeons,Vigilants_Bloodshaper_400,16919,7.87%,
dungeons,Dinobone_Charm_400,16886,7.66%,
dungeons,Emblem_of_Zandalar_400,16884,7.65%,
dungeons,Twitching_Tentacle_of_Xalzaix_400,16884,7.65%,
dungeons,Leyshocks_Grand_Compilation_390,16880,7.63%,
dungeons,Kajafied_Banana_400,16879,7.62%,
dungeons,Ignition_Mages_Fuse_400,16866,7.54%,
dungeons,Incessantly_Ticking_Clock_395,16866,7.53%,
dungeons,Tzanes_Barkspines_400,16860,7.50%,
dungeons,Vigilants_Bloodshaper_395,16859,7.49%,
dungeons,Galewind_Chimes_400,16858,7.49%,
dungeons,Doom_Shroom_400,16858,7.49%,
dungeons,First_Mates_Spyglass_400,16857,7.48%,
dungeons,Lady_Waycrests_Music_Box_400,16855,7.47%,
dungeons,Conch_of_Dark_Whispers_400,16849,7.43%,
dungeons,Twitching_Tentacle_of_Xalzaix_395,16843,7.39%,
dungeons,Incessantly_Ticking_Clock_390,16840,7.37%,
dungeons,Dinobone_Charm_395,16840,7.37%,
dungeons,Emblem_of_Zandalar_395,16838,7.36%,
dungeons,Ignition_Mages_Fuse_395,16836,7.34%,
dungeons,Lions_Grace_400,16833,7.33%,
dungeons,Kajafied_Banana_395,16821,7.25%,
dungeons,Sea_Giants_Tidestone_400,16821,7.25%,
dungeons,Vessel_of_Skittering_Shadows_400,16819,7.23%,
dungeons,Tzanes_Barkspines_395,16818,7.23%,
dungeons,Dread_Gladiators_Insignia_400,16818,7.23%,
dungeons,Gilded_Loa_Figurine_400,16816,7.22%,
dungeons,Leyshocks_Grand_Compilation_385,16814,7.21%,
dungeons,Dooms_Hatred_400,16813,7.20%,
dungeons,Vigilants_Bloodshaper_390,16812,7.19%,
dungeons,Doom_Shroom_395,16810,7.18%,
dungeons,Leyshocks_Grand_Compilation_380,16808,7.17%,
